127.0.0.1, 2019-06-17 03:00:08, POST, /admin/default/check_version, HTTP/1.1, 200, 0.839999
127.0.0.1, 2019-06-17 03:00:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 03:00:16, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 0.216007
127.0.0.1, 2019-06-17 03:00:16, GET, /favicon.ico, HTTP/1.1, 400, 0.003996
127.0.0.1, 2019-06-17 03:00:25, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.03-00-15.74f330aa-809b-45aa-b789-277baac5cfde, HTTP/1.1, 200, 0.200008
127.0.0.1, 2019-06-17 03:00:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/default/contacts, HTTP/1.1, 200, 0.055958
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004004
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003998
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.008001
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/css/calendar.css, HTTP/1.1, 304, 0.008000
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/js/calendar.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/js/web2py.js, HTTP/1.1, 304, 0.007992
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.003998
127.0.0.1, 2019-06-17 03:06:43, GET, /BankSystem/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.003998
127.0.0.1, 2019-06-17 03:11:44, GET, /BankSystem/default/contacts, HTTP/1.1, 200, 0.091830
127.0.0.1, 2019-06-29 13:25:58, GET, /, HTTP/1.1, 303, 0.002991
127.0.0.1, 2019-06-29 13:26:01, GET, /welcome/default/index, HTTP/1.1, 200, 2.150246
127.0.0.1, 2019-06-29 13:26:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.054850
127.0.0.1, 2019-06-29 13:26:07, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.082775
127.0.0.1, 2019-06-29 13:26:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.091769
127.0.0.1, 2019-06-29 13:26:08, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.216419
127.0.0.1, 2019-06-29 13:26:08, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.099733
127.0.0.1, 2019-06-29 13:26:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.260301
127.0.0.1, 2019-06-29 13:26:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.433838
127.0.0.1, 2019-06-29 13:26:08, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.566480
127.0.0.1, 2019-06-29 13:26:08, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.440823
127.0.0.1, 2019-06-29 13:26:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000994
127.0.0.1, 2019-06-29 13:26:10, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.015614
127.0.0.1, 2019-06-29 13:26:20, GET, /welcome/default/contact, HTTP/1.1, 404, 0.059840
127.0.0.1, 2019-06-29 13:26:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-29 13:26:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.143623
127.0.0.1, 2019-06-29 13:26:28, GET, /examples/default/index, HTTP/1.1, 200, 0.405921
127.0.0.1, 2019-06-29 13:26:28, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.058845
127.0.0.1, 2019-06-29 13:26:28, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.075783
127.0.0.1, 2019-06-29 13:26:28, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.078787
127.0.0.1, 2019-06-29 13:26:28, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.152591
127.0.0.1, 2019-06-29 13:26:28, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.010970
127.0.0.1, 2019-06-29 13:26:28, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.050864
127.0.0.1, 2019-06-29 13:26:29, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.413894
127.0.0.1, 2019-06-29 13:26:29, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.011969
127.0.0.1, 2019-06-29 13:26:29, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.369013
127.0.0.1, 2019-06-29 13:26:29, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.065824
127.0.0.1, 2019-06-29 13:26:29, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.645278
127.0.0.1, 2019-06-29 13:26:29, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.035903
127.0.0.1, 2019-06-29 13:26:30, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.008976
127.0.0.1, 2019-06-29 13:26:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.104717
127.0.0.1, 2019-06-29 13:26:41, GET, /examples/default/index, HTTP/1.1, 200, 0.043887
127.0.0.1, 2019-06-29 13:26:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.123671
127.0.0.1, 2019-06-29 13:26:47, GET, /welcome/default/contacts, HTTP/1.1, 404, 0.091755
127.0.0.1, 2019-06-29 13:26:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2019-06-29 13:27:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.109702
127.0.0.1, 2019-06-29 13:27:13, GET, /welcome/default/contacts, HTTP/1.1, 404, 0.077801
127.0.0.1, 2019-06-29 13:27:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000995
127.0.0.1, 2019-06-29 13:27:20, GET, /welcome/default/index/contacts, HTTP/1.1, 200, 0.113695
127.0.0.1, 2019-06-29 13:27:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001993
